term,coef,std_err,t_stat,p_value,ci_lower_95,ci_upper_95
const,0.6751955162168363,0.027928637509890976,24.17574133280632,2.1150119675087021e-113,0.6204230118887331,0.7299680205449395
PctPopUnderPov,-0.09182715255290419,0.027810028213422003,-3.301943883271053,0.000977197954136433,-0.14636704516832005,-0.03728725993748832
PctNotHSGrad,0.004111454638272612,0.02697325749885179,0.15242707108874895,0.87886559024952,-0.04878739739400721,0.05701030667055243
PctUnemployed,0.03830651729916285,0.031005464882492468,1.2354763085907798,0.2167994135579932,-0.022500135330050956,0.09911316992837665
PctKids2Par,-0.767363386169887,0.029033254527981396,-26.430498359401103,3.674423331864208e-132,-0.8243022203228099,-0.7104245520169641
PctVacantBoarded,0.0898079112663556,0.019556657085930042,4.592191337801159,4.661010921208319e-06,0.05145419334857396,0.12816162918413723
PopDens,0.07438296987130856,0.017933414052485545,4.147730580112222,3.4993519660925316e-05,0.039212689958456975,0.10955324978416014
population,0.2724027971162306,0.029414070879581096,9.26096895024923,5.0892956379814964e-20,0.21471712147278316,0.33008847275967806
