variable,VIF
PctKids2Par,9.120803289873903
PctIlleg,7.93858930811331
racepctblack,3.6466896866232235
MalePctDivorce,2.8821747554158046
HousVacant,2.114960834838063
PctPersDenseHous,1.77477438532149
NumStreet,1.6780135720895417
PctHousOccup,1.5905974050348186
agePct12t29,1.330372616475546
PctWorkMom,1.302817806811078
MedOwnCostPctIncNoMtg,1.238740231805049
pctUrban,1.2026798556467664
OtherPerCap,1.15370484329173
