index,cooks_distance,leverage,standardized_residual
342,0.028432894976875237,0.013225600706522267,-5.449740107709806
773,0.019870088891414783,0.006801257206244871,-6.373638152876198
1462,0.016732470028651577,0.00854383381430334,-5.213800490959762
426,0.015429812339725398,0.007444019024461712,-5.366833327792745
519,0.01513891639990773,0.006056501457921443,-5.897681957825955
1656,0.012492939424663363,0.007032091760231982,-4.969602777190213
1585,0.01242970652865336,0.023905510482116768,-2.6655778732976003
1629,0.012292774338364716,0.017071855528930015,-3.1478171290653125
83,0.01077475947728167,0.005950837855677654,-5.0197568754392305
1034,0.010490995834882172,0.03459679302518844,-2.0244582369020794
1230,0.009887271009159492,0.003122667474705883,-6.6475288002679465
809,0.009488587048266016,0.023344242716424324,-2.357467168258347
646,0.00899115121927951,0.02311618496272281,-2.3064022103294888
1174,0.00894328649611754,0.005072456542204894,-4.95563314631945
529,0.008892782915334388,0.0030705647877034125,-6.357786504372759
1847,0.008502533551082056,0.05948280674128262,-1.3719106836705965
119,0.007430515915947959,0.05345021472104266,1.3572833006261158
375,0.0072984453335144615,0.006096105337265775,4.081550388139316
1698,0.0071100863887731056,0.05497713208393069,-1.308071775983006
599,0.006539462041570891,0.010181272380535341,-2.9834023986169096
196,0.005932406742656654,0.0099148681940986,-2.8798659602310663
1665,0.005777136163615899,0.009152658703978217,-2.9590347119418
1134,0.0054610303304535686,0.02673359102821125,-1.6683552389506424
416,0.005372568514011159,0.008230750359473824,-3.0105136702893973
1961,0.005271118464697969,0.009099301458961572,-2.834826257948008
693,0.004598053004557251,0.010984495358179908,-2.407478956436616
1816,0.004496671698529049,0.014912159686274259,-2.0392797870587676
418,0.0042703464044607075,0.014607195305734838,2.008245701648502
1920,0.004179858405440257,0.015163870361482578,-1.9494933486888277
1049,0.0038848522777157686,0.005793843535874049,-3.0549641288231753
1948,0.0038754985855236623,0.01035838248296644,2.2767786631991913
1663,0.0037921195634986636,0.011005418263124808,2.184231714382047
865,0.0037229902977714683,0.010799518530805444,-2.1849924094525375
1292,0.00347844978441337,0.013805867631486148,1.8651176910713412
413,0.00342143027976316,0.04433622879184437,-1.0161107629115516
1879,0.0033816209649951386,0.010895293068103716,-2.0731377387225134
896,0.003321443226990048,0.014116912159674548,1.802064314963912
818,0.003298062177294953,0.006279115850210542,2.7031889155140973
667,0.0032962893918091,0.02753055753356101,-1.2767538106027987
463,0.0031598404024499754,0.009202683435041844,2.1823869755641363
957,0.0031101363949827196,0.010545980775559719,2.02119426078182
90,0.003091482545900071,0.015970367630531494,1.633029570292316
1044,0.003057999051254293,0.026239336202404036,-1.2604696187866302
1974,0.003039399683815519,0.021244616013036313,1.4001371016246094
1679,0.0030016277430995,0.01309734127409238,-1.779459142271428
1026,0.0029775897809960015,0.011287819146879244,1.9108490094917476
82,0.0029195478501226856,0.005883989293688942,2.62787324867056
1262,0.002861911670189306,0.023958368338239732,-1.277608177853646
642,0.002858113873343398,0.004808152374605579,2.877849481327202
636,0.0028505498357970583,0.025755674979027563,-1.228643284658996
1767,0.002840410964595919,0.03064734818314918,1.1214994327128993
853,0.00279712623286466,0.008182268682764495,-2.178708445337233
1470,0.002721260880603398,0.018854771772588184,-1.4080079766428801
861,0.0026597445947664916,0.009874396182640318,-1.9322968987594602
1604,0.002653553272863525,0.005572340192842044,-2.574813099475723
