variable,coef,std_err,t,p_value,coef_HC3,std_err_HC3,t_HC3,p_value_HC3,ci_low,ci_high,ci_low_HC3,ci_high_HC3
const,-1.2057847846196337,0.24222484402886232,-4.97795669743917,6.982113262984823e-07,-1.2057847846196337,0.23055605315112648,-5.229898621786597,1.8750807030200108e-07,-1.6808271431978878,-0.7307424260413795,-1.6579427443553993,-0.753626824883868
racepctblack,0.5072375356750293,0.117163261553573,4.329322425384125,1.570333045368094e-05,0.5072375356750293,0.11379913173400685,4.457305850633747,8.763709841360857e-06,0.2774613030582861,0.7370137682917725,0.2840589093874689,0.7304161619625896
agePct12t29,0.08594060322172788,0.12492901732446146,0.6879154664166278,0.4915865946989576,0.08594060322172788,0.126244412682248,0.6807477764424857,0.49611069725625745,-0.15906554089453917,0.3309467473379949,-0.16164524536594077,0.3335264518093965
pctUrban,0.2796974715186647,0.03833722610538399,7.295714894703471,4.277696203630938e-13,0.2796974715186647,0.044974381781693135,6.219039827525007,6.085243820167016e-10,0.20451192899735587,0.3548830140399735,0.1914953860437798,0.3678995569935496
OtherPerCap,0.1842650957929633,0.0874623542652153,2.106793229395695,0.03526101241325115,0.1842650957929633,0.10303308238399303,1.7884070973071293,0.0738631993717683,0.01273717831805718,0.3557930132678694,-0.017799554773795107,0.3863297463597217
MalePctDivorce,1.0639123561445611,0.14468129649814984,7.35348923389117,2.8122769673893837e-13,1.0639123561445611,0.1363579361339401,7.802350096436731,9.757197139797757e-15,0.7801687764709118,1.3476559358182105,0.7964922413680129,1.3313324709211094
PctKids2Par,-2.3115670806278787,0.22757549727813606,-10.157363636572656,1.1552575535085112e-23,-2.3115670806278787,0.23219625432354885,-9.955229843660078,8.141712022666582e-23,-2.757879684997822,-1.8652544762579355,-2.7669417419229507,-1.8561924193328068
PctWorkMom,-0.09926414801205573,0.10128048663509745,-0.980091538952549,0.32716067130336346,-0.09926414801205573,0.1119915642828995,-0.8863537950171558,0.37553454720624657,-0.29789167295477875,0.09936337693066728,-0.3188978402169627,0.12036954419285124
PctIlleg,-0.15890203137189793,0.19053130408690278,-0.8339943513923649,0.4043847682879258,-0.15890203137189793,0.17569347817126343,-0.9044276032659707,0.36587873535764515,-0.532564941298875,0.21476087855507917,-0.5034655487596895,0.18566148601589363
PctPersDenseHous,1.2471534212423336,0.09866498524942477,12.640283866556446,2.8058160459778686e-35,1.2471534212423336,0.09155138874197802,13.622441323716268,1.8476960684023654e-40,1.0536553203770458,1.4406515221076215,1.067606241375343,1.4267006011093242
HousVacant,0.36371746027150215,0.15029265051697982,2.4200615201101265,0.015607382969841344,0.36371746027150215,0.11730292245037774,3.100668360802045,0.0019580436565809433,0.06896910171726467,0.6584658188257396,0.1336673298963136,0.5937675906466907
PctHousOccup,-0.3724070473891375,0.10107533072365099,-3.6844504462452043,0.00023535170571877876,-0.3724070473891375,0.09525913001519655,-3.9094105450021215,9.563580072085936e-05,-0.5706322281856995,-0.17418186659257556,-0.5592257115932912,-0.1855883831849838
MedOwnCostPctIncNoMtg,-0.1760423669152977,0.08986058946291918,-1.9590608960777103,0.05024581147847139,-0.1760423669152977,0.08445359802872908,-2.0844862862493123,0.03724383495897305,-0.352273614097403,0.00018888026680760617,-0.3416696235199376,-0.010415110310657782
NumStreet,0.09328705453788959,0.20062462083379934,0.46498308208726824,0.6419947022231911,0.09328705453788959,0.1602114103790582,0.5822747226129124,0.5604479435506262,-0.30017049293977494,0.48674460201555414,-0.22091360709427493,0.40748771617005414
