index,cooks_distance,leverage,standardized_residual
682,0.03587948432571037,0.05437643521810742,-2.9555675574173206
1698,0.023911381218112603,0.05497713208393069,-2.3988134102494882
957,0.01632506065119231,0.010545980775559719,4.6306903425560435
82,0.014355896251590297,0.005883989293688942,5.827224776146851
1034,0.01395335036742765,0.03459679302518844,-2.3347464001174285
1610,0.013946653619395467,0.01765594393578426,3.295986054837502
909,0.013374495687730813,0.02453173966622322,2.7286329751076175
462,0.013370427635946102,0.01206537378101578,3.914987502651945
375,0.013116009150729056,0.006096105337265775,5.471555870049116
43,0.012032769203261585,0.07908852702524138,-1.4005512626801
1879,0.011403515671182947,0.010895293068103716,-3.807019275042388
1663,0.010748315056775301,0.011005418263124808,3.677290092838856
1585,0.010692660474404913,0.023905510482116768,-2.4723151245233983
693,0.010643250744814701,0.010984495358179908,-3.662795398596819
646,0.010635994018592103,0.02311618496272281,-2.5085134665114692
1292,0.010336558554686183,0.013805867631486148,3.215150870821988
1822,0.009069476207325379,0.010540489988553534,-3.4524208774110985
255,0.008707117057211848,0.017277227123132285,2.6331748491048366
79,0.008617589504006951,0.012249032394954168,3.1191033095980494
119,0.008491628072300889,0.05345021472104266,1.4509635529374778
1957,0.008385276195626653,0.008694029882115432,3.658609017261881
998,0.00827018592820141,0.014680702252800814,2.787640294864327
420,0.00826358011278686,0.012794260601045071,2.987750847858914
526,0.007836560649010286,0.00983952518729981,-3.3227103906652657
90,0.007535144273372562,0.015970367630531494,2.5495083309654514
146,0.0074372492213828625,0.01899639669707881,2.3188351310455224
401,0.00743095054828384,0.02185829495521196,-2.157639829899803
1274,0.007286959058133612,0.012243102100443848,2.8689070817500193
42,0.00723842941454626,0.016981317407695994,2.422040415618502
615,0.007184686521874739,0.004254510101462883,4.851961256013203
1001,0.0071833922867533566,0.0064166733793614905,3.9461718171491325
1326,0.007117869533960087,0.007283095953820337,3.685477144152259
491,0.006784259587248219,0.010791185226771902,-2.950697316039795
1954,0.006767949559127798,0.0527574499787709,-1.3043113566435243
1099,0.006755455311434638,0.03436214441216805,-1.6302655173922362
668,0.006607240434893095,0.032246617404900035,-1.6661509299112314
1988,0.006495537565719526,0.008339497199884475,-3.2883886578060952
858,0.0061540237873762395,0.006661679725277418,3.5842667493531737
599,0.005961454894233464,0.010181272380535341,-2.848504790022031
1554,0.005932204679264625,0.009146495116460703,2.9995040518506255
545,0.005874305789208216,0.009094728183632196,2.9933913581054745
836,0.005776393890869145,0.009152755331994607,2.95882884775167
485,0.005642352845017045,0.02998809406038082,-1.598483798140327
1056,0.005540484128691642,0.011698043726481578,2.559918168726642
1354,0.005501954685665467,0.021754179048161123,-1.8611234178899236
400,0.005452385309213595,0.003411596185349858,4.7221131790985025
828,0.005356868805123418,0.010226781611365017,2.6941258638913066
1211,0.00534727410988179,0.012413042962753352,2.440499848510958
1721,0.005323916827367009,0.012833621838522342,2.39441931716332
130,0.005227438249351833,0.009137073906089229,-2.81716117332953
1878,0.005156318747580973,0.014602638366180063,2.2071097460339244
149,0.005093018625193545,0.003416401851537272,4.560621637292831
428,0.005083583759204405,0.0044227588012067404,4.002578534690003
642,0.005055686547418564,0.004808152374605579,3.8275280440676758
1273,0.004951301360133093,0.012062104756384555,2.382741737728493
970,0.004928128439088089,0.029413524563700395,-1.5088588358672668
1638,0.004912491374322797,0.03431690011184887,-1.3911636086553205
1865,0.0049071195190187045,0.017837366283401233,1.9449286520661404
1759,0.004759962675110375,0.01256169766719585,2.288740779961371
1025,0.004728153474478565,0.00655381763581661,3.1676325472995686
675,0.00470154375433429,0.009812207432726702,2.5772685994483977
1636,0.004659112311919327,0.005168969907807891,3.543139627169296
269,0.0046134708007473674,0.00459844098984707,3.7391402514151424
841,0.004612178537596686,0.00867136390897368,2.7169534187149607
1,0.004579321967668966,0.009932287845610897,2.527972863683712
1767,0.004536600713606129,0.03064734818314918,1.4173390290667758
1920,0.004519792961179441,0.015163870361482578,-2.027217018590374
399,0.00450932577784564,0.020240846659245346,1.748095485883742
433,0.004415792181047651,0.006789169814960937,-3.0073274495885407
1842,0.004370962330872519,0.010731832217137895,-2.3750493058546853
499,0.004287127916141162,0.00907143715467586,2.5605329216957973
1200,0.004255147230710345,0.0077106700733191105,2.7688180273662524
174,0.0042506737879456375,0.014033566325361853,2.0447487225784995
1312,0.004176710904546672,0.016996453305117152,1.8389910498261628
810,0.004154919014393644,0.010294074185416491,2.364856200833358
727,0.004125732972132019,0.006975322376551933,-2.8675596082407617
678,0.0041199448427308525,0.013801667295932473,2.0301403995147447
636,0.004103571837766981,0.025755674979027563,-1.4741528369319883
447,0.0040600081801736776,0.012595649692438565,2.1108856303148857
1662,0.004055874184562507,0.012517265073856336,-2.116490317745864
1754,0.004036240746203405,0.01244128998002861,2.1178797823480298
1358,0.003953545682423762,0.02149396461061131,-1.5873799413882796
1582,0.003891933950875945,0.014224089727636585,1.94322731888597
248,0.0038226703100054764,0.008089378522377129,2.5616873940803537
1481,0.0038108195201859564,0.02733705513409429,-1.3777757279925782
1295,0.0037986431749901343,0.00839289276101726,2.5066416196261034
1524,0.0037757847205027208,0.011161171775178835,2.1640908547269526
457,0.003769702267771389,0.01631344200750568,1.7839106981149027
203,0.0037663869466076157,0.011207740627148115,2.156850179456336
620,0.0037432650232226356,0.03190808247831597,-1.2609482118398663
154,0.00373906818326882,0.009523221691910042,2.3333286413121246
1470,0.0037260662766321205,0.018854771772588184,-1.6475754562366816
3,0.003721368645386237,0.017633849591868228,-1.7036426093906167
1914,0.003661718518215622,0.013977105189804323,1.9016972513004156
952,0.003657226300277928,0.018737183447571876,1.6374967687814423
1775,0.0036307084974384076,0.007021477726333215,2.6811145832734904
1020,0.0036179527336924326,0.007233620858110929,-2.6365810220906716
1684,0.0035951469301289795,0.008491380439035481,2.4242725136842416
291,0.003560290498783353,0.01931015857387306,-1.5910347077855498
539,0.003560214037972217,0.00656815565986039,2.7456766617322366
1041,0.0035313841466343768,0.012896857868843332,1.9452517275728751
723,0.0035022453423761393,0.008941620236704759,2.3311961094245746
1544,0.003483765879154168,0.017839212294662198,1.638671713787551
222,0.0034775498354681633,0.02023051638992945,-1.5355330525830617
861,0.003429631920863022,0.009874396182640318,-2.194207249995726
1831,0.0034157821375093733,0.006547261254613444,2.6937225979238764
618,0.0034076830165207903,0.006596643698433464,-2.680371000343306
1353,0.003335784368270909,0.022316069057516832,1.430386467518628
421,0.003323080720376993,0.003698158316133702,3.54027648315769
1119,0.0032751794646273587,0.008740159821088849,2.2804241820623736
26,0.0032517660684653507,0.00850606708950817,2.3035852759972113
1065,0.003222997454225362,0.013605639900223364,-1.8086719491573477
404,0.0032211422809007638,0.005599811040738675,2.8298465408544136
1379,0.003213275916589595,0.009981210957581449,-2.1123609408462856
564,0.0032098408488355815,0.05535296526035949,0.8757297526476587
821,0.0031920043311130858,0.008803919703521249,-2.243042514947346
1299,0.0030710314976620337,0.00967574342037761,-2.097744977056946
198,0.003046542416931045,0.03629786411125828,-1.0641393623439266
1492,0.0030433187142237875,0.009965775876299036,-2.0573457419947956
151,0.003021722234461045,0.005627296729605188,2.7341099586452926
525,0.0030088974206256866,0.012093181500483158,1.8550491241633504
429,0.003000480015750001,0.07065425296098321,-0.7433252585422085
446,0.0029431342794660593,0.0058930465818002875,2.6364265416132153
1543,0.002927807880929452,0.011765118536824925,-1.8555268431253904
1421,0.0029192482990477086,0.0047824997503210466,2.9162923582452964
1332,0.0028762194336836217,0.01890853214328246,-1.4454426575211858
1563,0.0028749816703233836,0.011558414149690607,1.8552734794248986
1612,0.0028525429819341768,0.01294340493266936,1.7451263439668476
1208,0.0028097764663861683,0.00941349067276202,2.034561206405408
902,0.0027818629237817533,0.003819307549688337,3.1871949265249455
633,0.002744812410967626,0.009208267800936242,-2.03339882632349
1270,0.0027352104048364357,0.015309502211688482,1.5693822138869664
819,0.002713463417512855,0.013062279659174114,-1.6941871694232984
