row_index,cooks_distance,leverage,standardized_residual,communityname,state
682,0.03587948432571051,0.05437643521810738,-2.9555675574173277,Philadelphiacity,42
1698,0.02391138121811271,0.054977132083930666,-2.398813410249494,FortLauderdalecity,12
957,0.016325060651192307,0.010545980775559717,4.6306903425560435,WestHollywoodcity,6
82,0.014355896251590354,0.005883989293688961,5.827224776146853,Vernoncity,48
1034,0.01395335036742643,0.034596793025185466,-2.3347464001174303,Gatesvillecity,48
1610,0.013946653619395457,0.017655943935784228,3.295986054837504,Salisburycity,24
909,0.013374495687730697,0.024531739666223115,2.7286329751076113,KansasCitycity,29
462,0.013370427635946047,0.012065373781015739,3.9149875026519445,Commercecity,6
375,0.013116009150728924,0.006096105337265707,5.4715558700491185,LaCanadaFlintridgecity,6
43,0.012032769203261554,0.07908852702524131,-1.4005512626800989,Carlsbadcity,6
1879,0.011403515671182989,0.010895293068103724,-3.807019275042393,Greenwoodcity,28
1663,0.01074831505677527,0.011005418263124789,3.6772900928388546,Barnstabletown,25
1585,0.010692660474404793,0.023905510482116466,-2.4723151245234,Missioncity,48
693,0.010643250744814788,0.010984495358179941,-3.6627953985968285,Augustacity,13
646,0.010635994018591971,0.023116184962722497,-2.508513466511471,Donnacity,48
1292,0.010336558554685776,0.013805867631485657,3.215150870821983,Blythevillecity,5
1822,0.009069476207325384,0.010540489988553512,-3.4524208774111034,Greenvillecity,28
255,0.008707117057211736,0.01727722712313212,2.633174849104832,NorthCharlestoncity,45
79,0.008617589504006798,0.012249032394953965,3.119103309598047,Auroracity,8
119,0.008491628072300902,0.0534502147210427,1.4509635529374785,SantaMonicacity,6
1957,0.008385276195626633,0.008694029882115421,3.6586090172618793,LittleRockcity,5
998,0.008270185928201371,0.014680702252800788,2.7876402948643233,Lynwoodcity,6
420,0.008263580112786684,0.012794260601044825,2.9877508478589117,Annistoncity,1
526,0.007836560649010298,0.009839525187299795,-3.322710390665271,Americuscity,13
90,0.007535144273372368,0.01597036763053108,2.549508330965452,KeyWestcity,12
146,0.007437249221382783,0.018996396697078737,2.3188351310455144,BatonRougecity,22
401,0.007430950548283869,0.021858294955211938,-2.1576398298998085,Milwaukeecity,55
1274,0.007286959058133504,0.012243102100443673,2.868907081750019,Grenadacity,28
42,0.007238429414546176,0.016981317407695855,2.422040415618498,Fairfieldcity,1
615,0.007184686521874702,0.004254510101462859,4.851961256013204,GlensFallscity,36
1001,0.007183392286753375,0.006416673379361521,3.946171817149128,Opelikacity,1
1326,0.0071178695339599906,0.007283095953820247,3.6854771441522574,BalchSpringscity,48
491,0.0067842595872482465,0.010791185226771902,-2.9506973160398013,Vicksburgcity,28
1954,0.006767949559127812,0.05275744997877087,-1.304311356643526,SanDiegocity,6
1099,0.0067554553114346485,0.034362144412167964,-1.6302655173922396,SanAntoniocity,48
668,0.006607240434893047,0.032246617404899675,-1.6661509299112351,Bellcity,6
1988,0.006495537565719537,0.008339497199884464,-3.2883886578061006,Columbuscity,28
858,0.00615402378737619,0.006661679725277385,3.5842667493531684,Limacity,39
599,0.0059614548942334145,0.01018127238053523,-2.8485047900220346,Troycity,1
1554,0.005932204679264554,0.009146495116460585,2.999504051850627,WestColumbiacity,45
545,0.005874305789208172,0.009094728183632123,2.9933913581054754,SantaFeSpringscity,6
836,0.005776393890868869,0.009152755331994186,2.9588288477516684,Steubenvillecity,39
485,0.005642352845017044,0.029988094060380697,-1.5984837981403304,Austincity,48
1056,0.005540484128691435,0.011698043726481198,2.559918168726637,Hawthornecity,6
1354,0.005501954685665478,0.02175417904816106,-1.861123417889928,BedfordHeightscity,39
400,0.005452385309213536,0.0034115961853498256,4.7221131790985,Mansfieldcity,39
