Model,p,Adj_R2,AIC,BIC,RMSE,MAE,CV_R2
OLS_all100,100,0.6785028608758537,-2315.2906456877517,-1749.9029526850516,0.13630960166032877,0.09595213428035597,0.6575357859207096
OLS_postLasso20,20,0.6641511998010665,-2305.671496350473,-2188.1156393895153,0.13605185017841914,0.09456771988338329,0.6588297109403372
OLS_final13,13,0.6619053930117693,-2299.320100171659,-2220.949528864354,0.13622954650314956,0.094419018485811,0.6579379289155278
ElasticNet100,20,,,,0.1355900043967514,0.09424567790227177,0.6611420737041613
OLS_final13_logY,13,0.6091424459514897,4216.982869596223,4295.353440903528,0.14969150774817389,0.09652773591259022,0.586993749200119
