model,adj_r2,aic,bic,condition_number,max_vif,bp_F,bp_F_pval,jb_stat,jb_pval,dw,reset_F,reset_pval,max_cooks,n_cooks_above_4n
baseline_OLS,0.6619053930117693,-2299.320100171659,-2220.949528864354,42.92746359698032,9.120803289873903,21.47625068060752,2.1512738176783523e-48,1351.4582556404382,3.4242741424089396e-294,1.9999733992354884,25.516845861253735,1.144778523084202e-11,0.03587948432571051,164
log_OLS,0.6091424459514898,4216.982869596224,4295.353440903529,42.92746359698032,9.120803289873903,5.2231266937631675,2.9133652419247696e-09,2433.6609612457596,0.0,1.9822434980405057,70.78350307076217,2.0387605861648234e-30,0.028432894976874533,78
